Rank,playerId,playerImageId,Player,playerFullName,pos,teamImageId,teamName,teamShortName,teamAbbrevName,newestTeamId,newestTeam,newestTeamColor,newestLeagueId,newestLeague,optaPersonId,firstName,lastName,Position,GM,Min,Age,TopSpeed,DistanceRun,WalkDist,JogDist,RunDist,HiSpeedRunDist,SprintDist,WalkCount,JogCount,RunCount,HiSpeedRunCount,SprintCount
1,efr0xlfk7a40ds8t4a6r4710p,738077,R. Levy,Roy Levy,Left Back,1942,Ashdod,Ashdod,ASH,3xbrfd77vj0zi8vbrnwqz54z,Ashdod,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,475584,Roy,Levy,Left Back,10.00,882.00,24.00,9.15,106422.00,27898.00,52630.00,13847.00,6460.30,3566.10,5153.00,6089.00,1002.00,401.00,173.00
2,6fhhm1c5zl8hr65oux0da9vbp,201859,H茅lder Lopes,H茅lder Lopes,Left Back,3012,Hapoel Be'er Sheva,H Be'er Sheva,HBS,9ppjmek1r3tb9yddebneaxj7i,Hapoel Be'er Sheva,#ff0000,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,124907,H茅lder Filipe,Oliveira Lopes,Left Back,10.00,810.00,35.00,8.32,100510.00,25838.00,47064.00,15788.00,7631.90,2206.90,5007.00,5689.00,1207.00,472.00,116.00
2,77so72wzu49hbxw1jzdv5s3my,,W. Habiballah,Wahib Habiballa,Right Attacking Midfielder,18909,Ironi Tiberias,I Tiberias,ITB,8k3kbfzfqi2senhosaaimvgjm,Ironi Tiberias,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,549539,Wahib,Habiballa,Right Attacking Midfielder,10.00,803.00,26.00,9.00,87807.00,24616.00,43454.00,10541.00,4944.40,2503.50,5053.00,5387.00,793.00,306.00,116.00
4,20ixi041snczl3n0nosu78pka,778419,Z. Zasno,Zohar Zasno,Right Back,469,Beitar Jerusalem,Beitar,BJM,cx0rucvdzkg1yd00vrueu2u7,Beitar Jerusalem,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,491397,Zohar,Zasno,Right Back,10.00,743.00,22.00,9.13,85897.00,24103.00,41077.00,11369.00,5586.50,2240.00,4024.00,4491.00,861.00,360.00,114.00
5,kvny4bvfkzrpm0vi8u391qeh,483606,M. Shaker,Muhamad Shaker,Right Attacking Midfielder,16514,Maccabi Bnei Raina,Bnei Raina,RNA,bvgvmydv5tuf6lxvwvuwbrfje,Maccabi Bnei Raina,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,227447,Muhamad,Shaker,Right Attacking Midfielder,10.00,772.00,27.00,9.19,90194.00,26774.00,42240.00,11704.00,5471.10,2421.70,4254.00,4681.00,884.00,337.00,107.00
5,13k1c264udq2bplib2qmvmfvt,,S. Konstantini,Shay Konstantini,Right Back,18909,Ironi Tiberias,I Tiberias,ITB,8k3kbfzfqi2senhosaaimvgjm,Ironi Tiberias,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,222718,Shay,Konstantini,Right Back,10.00,900.00,28.00,8.38,103644.00,28065.00,53474.00,12938.00,5315.20,1951.70,5368.00,6324.00,981.00,332.00,107.00
7,eqruohw5l3ovawjbp27j9md49,534775,N. Belay,Naftali Balay,Left Back,2789,Bnei Sakhnin,Sakhnin,BNS,54hbubv11m3ygghs51uperow9,Bnei Sakhnin,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,433713,Naftali,Balay,Left Back,10.00,648.00,27.00,8.94,79558.00,18797.00,40341.00,11633.00,5004.40,2247.90,3740.00,4635.00,906.00,302.00,104.00
8,8ay78q8sxpocaxhcwg3f075qt,198888,Abdallah Jaber,Abdallah Jaber,Left Back,16514,Maccabi Bnei Raina,Bnei Raina,RNA,bvgvmydv5tuf6lxvwvuwbrfje,Maccabi Bnei Raina,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,201450,Abdallah,Jaber,Left Back,9.00,796.00,31.00,8.49,95629.00,23731.00,48024.00,14067.00,6026.00,2047.80,4332.00,5318.00,1129.00,395.00,102.00
8,2rtx5fdppxirmf6sttk0uqz56,778420,T. Muzi,Timothy Muzi,Right Winger,469,Beitar Jerusalem,Beitar,BJM,cx0rucvdzkg1yd00vrueu2u7,Beitar Jerusalem,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,512260,Timothy,Muzi,Right Winger,10.00,605.00,23.00,9.08,66738.00,18897.00,31356.00,9209.20,4127.00,2011.80,2799.00,3343.00,703.00,242.00,102.00
8,dqjl4656em78riczpw1cx2wkq,846208,R. Keller,Rotem Keller,Left Back,2787,Maccabi Netanya,M Netanya,MNT,6j9xcfzg0gp8j84yaoidmspaw,Maccabi Netanya,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,512586,Rotem,Keller,Left Back,9.00,764.00,22.00,8.72,93142.00,24407.00,47182.00,12565.00,5352.10,2012.00,4322.00,5009.00,933.00,310.00,102.00
